id,subject,custom_fields,created_on,updated_on,tracker.name,status.id,status.name,priority.name,author.name,assigned_to.name,category.name,parent.id
208953,"Atualização Banco de Produção: Cópia da UO 27501 - CERB do exercício de 2020 para os exercícios de 2021, 2022, 2023, 2024. 2025","[{'id': 267, 'name': 'Classificação da Demanda', 'value': 'Sustentação'}, {'id': 334, 'name': 'Backlog', 'value': ''}, {'id': 225, 'name': 'Data Desejada', 'value': '2025-04-29'}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}]",2025-05-16T20:32:26Z,2025-05-16T20:32:26Z,FIPLAN:Gestor,1,Novo,Urgente,Marilia Pedreira,FIPLAN Gestor SEPLAN,,
208952,"Conciliação Bancária Extrato - habilitar e desabilitar os botões Pendente, Justificar e Desconsiderar ","[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': ''}, {'id': 221, 'name': 'PF Estimado', 'value': '1'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 299, 'name': 'Origem Mudança', 'value': 'Requisitos'}, {'id': 271, 'name': 'Versão Caso de Uso', 'value': '6.16'}, {'id': 237, 'name': 'Data Prevista Desenvolvimento', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-16T20:27:11Z,2025-05-16T20:30:47Z,FIPLAN:Mudança,156,Desenvolvimento: A fazer,Padrão,Marcio Anton Hadad,FIPLAN_SEFAZ_TIME 04,Conciliação Bancária,
208951,Alteração na conta contábil - Controle do ICSF (produção 2025),"[{'id': 64, 'name': 'Ambiente', 'value': 'Produção'}, {'id': 296, 'name': 'Justificativa', 'value': 'Correção do atributo Controle do ICSF'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}]",2025-05-16T20:12:17Z,2025-05-16T20:25:06Z,FIPLAN:Correção de Dados,154,A fazer,Padrão,Gemima de Freitas Machado Muniz,FIPLAN AD,,
208948,Alteração na conta contábil - Controle do ICSF (Manut 2025),"[{'id': 64, 'name': 'Ambiente', 'value': 'Manutenção'}, {'id': 296, 'name': 'Justificativa', 'value': 'Correção do atributo Controle do ICSF'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}]",2025-05-16T19:14:29Z,2025-05-16T20:16:01Z,FIPLAN:Correção de Dados,5,Fechado,Padrão,Gemima de Freitas Machado Muniz,Gemima de Freitas Machado Muniz,,
208947,PED - CAMPO SEI MPBA,"[{'id': 368, 'name': 'Rastro FIPLAN', 'value': ''}, {'id': 340, 'name': 'FIPLAN 2.0', 'value': ''}, {'id': 149, 'name': 'Impacto BDCE', 'value': ''}, {'id': 334, 'name': 'Backlog', 'value': '1'}, {'id': 221, 'name': 'PF Estimado', 'value': ''}, {'id': 333, 'name': 'Esforço', 'value': ''}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 342, 'name': 'Data Entrega Homologação', 'value': ''}, {'id': 235, 'name': 'Data Prevista Implantação', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-16T18:49:00Z,2025-05-16T18:49:00Z,FIPLAN:Demanda,192,Demanda: Ideias,Padrão,Maiara Barrozo Santos Dias,Backlog FIPLAN,,
208940,Modificação da Despesa: Emitir Decreto Financeiro - Erro,"[{'id': 267, 'name': 'Classificação da Demanda', 'value': 'Sustentação'}, {'id': 334, 'name': 'Backlog', 'value': ''}, {'id': 225, 'name': 'Data Desejada', 'value': '2025-05-29'}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}]",2025-05-16T18:18:27Z,2025-05-16T18:57:22Z,FIPLAN:Gestor,154,A fazer,Padrão,Marilia Pedreira,Fiplan Requisitos Seplan,,
208939,Alteração Controle do ICSF,"[{'id': 267, 'name': 'Classificação da Demanda', 'value': 'Sustentação'}, {'id': 334, 'name': 'Backlog', 'value': ''}, {'id': 225, 'name': 'Data Desejada', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}]",2025-05-16T18:11:55Z,2025-05-16T20:16:23Z,FIPLAN:Gestor,155,Em andamento,Padrão,Diego Rosas Silva,Gemima de Freitas Machado Muniz,,
208935,"Relato sobre a Iniciativa - 2024-2027 - Anos 2,3 e 4 - Demanda 2 - Quadro de Execução Física não Planejada","[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 33, 'name': 'Legado', 'value': '0'}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}, {'id': 396, 'name': 'Time FIPLAN', 'value': 'SEPLAN - Time 02'}]",2025-05-16T17:36:54Z,2025-05-16T19:04:53Z,FIPLAN:Erro,114,Desenvolvimento: Em andamento,Padrão,Ligia Simone Vianna,FIPLAN_MERGE,,
208928,Monitoramento 2024-2027: Apuração do Indicador de Compromisso - Erro,"[{'id': 28, 'name': 'Origem do Defeito', 'value': 'Produção'}, {'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': ''}, {'id': 334, 'name': 'Backlog', 'value': '0'}, {'id': 221, 'name': 'PF Estimado', 'value': '3'}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}, {'id': 396, 'name': 'Time FIPLAN', 'value': 'SEPLAN - Sustentação'}]",2025-05-16T17:05:54Z,2025-05-16T18:18:18Z,FIPLAN:Corretiva,156,Desenvolvimento: A fazer,Padrão,Daniele Correa,FIPLAN_SEPLAN_Sustentação,PLAN | M&A | Monitoramento,
208925, Testes Unitários EmpenhoValidator,"[{'id': 371, 'name': 'Data de Entrega', 'value': ''}]",2025-05-16T15:49:51Z,2025-05-16T19:17:22Z,FIPLAN:Atividade,73,Feito,Padrão,Ana Maria Souza Ribeiro,Ana Maria Souza Ribeiro,,206898.0
208919,MGRC - Carga diária de integração - subfonte 800138  - Alteração no nome do convênio,"[{'id': 64, 'name': 'Ambiente', 'value': 'Produção'}, {'id': 296, 'name': 'Justificativa', 'value': 'A subfonte  800138 possui a mesma lei autorizativa da subfonte de outra subfonte , gerando duplicidade ao compor o campo ""nome do convênio"". Por este motivo não foi possível sua inclusão nas tabelas de integração. Para que a subfonte 800138 seja incluída na tabela de integração, será necessário alterar a composição do campo ""nome do convênio"" colocando a descrição da sigla da subfonte.'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SPF'}]",2025-05-16T14:11:53Z,2025-05-16T14:12:28Z,FIPLAN:Correção de Dados,154,A fazer,Padrão,Marcia Figueredo Nunes,Nara Marise Campelo D'Amorim,,
208917,Monitoramento 2024-2027: Apuração do Indicador de Compromisso - Erro,"[{'id': 267, 'name': 'Classificação da Demanda', 'value': 'Sustentação'}, {'id': 334, 'name': 'Backlog', 'value': ''}, {'id': 225, 'name': 'Data Desejada', 'value': '2025-05-22'}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}]",2025-05-16T14:03:33Z,2025-05-16T17:00:25Z,FIPLAN:Gestor,155,Em andamento,Urgente,Marilia Pedreira,Daniele Correa,,
208914,MGRC - Carga Diária de Integração - Subfonte 800138 - Alteração no nome do convênio,"[{'id': 267, 'name': 'Classificação da Demanda', 'value': 'Sustentação'}, {'id': 334, 'name': 'Backlog', 'value': ''}, {'id': 225, 'name': 'Data Desejada', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SPF'}]",2025-05-16T13:59:21Z,2025-05-16T13:59:21Z,FIPLAN:Gestor,154,A fazer,Urgente,Lilian Tereza Carvalho de Almeida,Marcia Figueredo Nunes,,
208913,Atualização Banco de Produção: Unidade Orçamentária - Alterar Situação UO 27501,"[{'id': 64, 'name': 'Ambiente', 'value': 'Produção'}, {'id': 296, 'name': 'Justificativa', 'value': 'Solicitação da SEFAZ com autorização para realizar esta alteração, para encerramento em exercício posterior a extinção da UO.\r\n\r\nA solução encontrada foi realizar esta alteração via banco, depois fazer as cargas para os demais exercícios e alterar a Situação para ""Inativo"".'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}]",2025-05-16T13:59:05Z,2025-05-16T17:25:38Z,FIPLAN:Correção de Dados,1,Novo,Urgente,Daniele Correa,Daniele Correa,,
208912,Atualização Banco de Homologação: Unidade Orçamentária - Alterar Situação UO 27501,"[{'id': 64, 'name': 'Ambiente', 'value': 'Homologação'}, {'id': 296, 'name': 'Justificativa', 'value': 'Solicitação da SEFAZ com autorização para realizar esta alteração, para encerramento em exercício posterior a extinção da UO.\r\n\r\nA solução encontrada foi realizar esta alteração via banco, depois fazer as cargas para os demais exercícios e alterar a Situação para ""Inativo"".'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}]",2025-05-16T13:55:46Z,2025-05-16T18:52:03Z,FIPLAN:Correção de Dados,30,Validação,Alto,Daniele Correa,Daniele Correa,,
208907,Atualização Banco de Produção: Unidade Orçamentária - Alterar Situação UO 27501,"[{'id': 267, 'name': 'Classificação da Demanda', 'value': 'Sustentação'}, {'id': 334, 'name': 'Backlog', 'value': ''}, {'id': 225, 'name': 'Data Desejada', 'value': '2025-05-19'}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}]",2025-05-16T13:38:41Z,2025-05-16T20:33:11Z,FIPLAN:Gestor,30,Validação,Urgente,Marilia Pedreira,Fiplan Requisitos Seplan,,
208900,Migração Credor - Consultar Credor ,"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 149, 'name': 'Impacto BDCE', 'value': ''}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': 'Baixa'}, {'id': 221, 'name': 'PF Estimado', 'value': ''}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': 'CREDOR'}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 234, 'name': 'Projeto', 'value': '0'}, {'id': 271, 'name': 'Versão Caso de Uso', 'value': '1.0'}, {'id': 237, 'name': 'Data Prevista Desenvolvimento', 'value': ''}, {'id': 238, 'name': 'Data Prevista Teste', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-16T13:07:28Z,2025-05-16T13:07:28Z,FIPLAN:Evolutiva,200,Especificação: Em andamento,Padrão,Manuela da Silva Costa,Manuela da Silva Costa,Tabelas | Credor,
208899,Gestão / Segurança / Relatórios / Grupo de Recursos por Usuario/Acesso de Sistema: Ajustes gerais,"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': 'Média'}, {'id': 221, 'name': 'PF Estimado', 'value': '3'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 299, 'name': 'Origem Mudança', 'value': 'Requisitos'}, {'id': 271, 'name': 'Versão Caso de Uso', 'value': '0.00'}, {'id': 237, 'name': 'Data Prevista Desenvolvimento', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-16T13:05:03Z,2025-05-16T13:54:57Z,FIPLAN:Mudança,114,Desenvolvimento: Em andamento,Padrão,Cristina de Souza Azevedo,Gilberto Cosme da Silva,Gestão | Segurança,
208894,Testes Unitários,"[{'id': 371, 'name': 'Data de Entrega', 'value': ''}]",2025-05-16T12:00:44Z,2025-05-16T12:01:10Z,FIPLAN:Atividade,154,A fazer,Padrão,Alexandre Faria Silveira,Alexandre Faria Silveira,,200287.0
208893,DEV 1,"[{'id': 371, 'name': 'Data de Entrega', 'value': ''}]",2025-05-16T11:34:34Z,2025-05-16T13:26:52Z,FIPLAN:Atividade,73,Feito,Padrão,Rafael Pinto Vieira dos Santos,Rafael Pinto Vieira dos Santos,,208715.0
208891,[ACWVW0010] Levantamento de impacto,"[{'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}]",2025-05-15T21:52:00Z,2025-05-16T11:18:29Z,FIPLAN:Consulta,154,A fazer,Padrão,Cristina de Souza Azevedo,FIPLAN DEV,,
208889,"[Produção]: Consulta: PAOE, Produto e Subproduto 2025","[{'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}]",2025-05-15T20:37:48Z,2025-05-16T17:40:31Z,FIPLAN:Consulta,5,Fechado,Padrão,Cristiane Menezes S. Santos,Cristiane Menezes S. Santos,,
