issue_id,journal_id,user,notes,created_on,details,property,name,old_value,new_value
208952,1863945,Marcio Anton Hadad,,2025-05-16 20:27:17,"[{'property': 'relation', 'name': 'relates', 'new_value': '187015'}]",relation,relates,,187015
208952,1863948,Marcio Anton Hadad,Caso de uso em: https://prodeboffice365.sharepoint.com/sites/solues/Documentos%20Compartilhados/FIPLAN/Casos%20de%20Uso/09.%20CONCILIA%C3%87%C3%83O%20BANCARIA/Conciliacao_Bancaria_Extrato_Manual.docx,2025-05-16 20:30:14,"[{'property': 'cf', 'name': '221', 'old_value': '', 'new_value': '1'}, {'property': 'attr', 'name': 'assigned_to_id', 'old_value': '270', 'new_value': '2245'}, {'property': 'attr', 'name': 'status_id', 'old_value': '200', 'new_value': '156'}, {'property': 'attr', 'name': 'description', 'old_value': 'Favor atender a mudança para habilitar e desabilitar os botões ""Pendente"", ""Justificar"" e ""Desconsiderar"" de acordo com a quantidade de linhas do extrato selecionados.', 'new_value': 'Favor atender a mudança para habilitar e desabilitar os botões ""Pendente"", ""Justificar"" e ""Desconsiderar"" de acordo com a quantidade de linhas do extrato selecionadas.'}]",,,,
208951,1863932,Gemima de Freitas Machado Muniz,,2025-05-16 20:12:50,"[{'property': 'attr', 'name': 'description', 'old_value': 'Conforme solicitação da área gestora, ticket # 208939, solicito:\r\nAlteração do Controle do ICSF (IDEN_CONTROLE_ICSF) para ""Não se Aplica"" das conta contábeis (ACWTB0032) abaixo relacionadas, exercício 2025.\r\n* 2.1.8.6.1.01.01.97\r\n* 2.1.8.6.1.01.02.97\r\n* 2.1.8.6.1.02.01.94\r\n* 2.1.8.6.1.02.02.94\r\n* 2.1.8.6.1.03.01.97\r\n* 2.1.8.6.1.03.02.97\r\n* 2.1.8.6.1.99.01.97\r\n* 2.1.8.6.1.99.02.97\r\n\r\nUsuário de alteração 00212076582\r\n* 2.1.8.9.1.01.05.00\r\n* 2.1.8.9.1.02.05.00\r\n', 'new_value': 'Conforme solicitação da área gestora, ticket # 208939, solicito:\r\nAlteração do Controle do ICSF (IDEN_CONTROLE_ICSF) para ""Não se Aplica"" das conta contábeis (ACWTB0032) abaixo relacionadas, exercício 2025.\r\n* 2.1.8.6.1.01.01.97\r\n* 2.1.8.6.1.01.02.97\r\n* 2.1.8.6.1.02.01.94\r\n* 2.1.8.6.1.02.02.94\r\n* 2.1.8.6.1.03.01.97\r\n* 2.1.8.6.1.03.02.97\r\n* 2.1.8.6.1.99.01.97\r\n* 2.1.8.6.1.99.02.97\r\n* 2.1.8.9.1.01.05.00\r\n* 2.1.8.9.1.02.05.00\r\n\r\nUsuário de alteração 00212076582'}]",,,,
208951,1863933,Gemima de Freitas Machado Muniz,,2025-05-16 20:13:44,"[{'property': 'attr', 'name': 'status_id', 'old_value': '1', 'new_value': '154'}]",attr,status_id,1,154
208951,1863937,Gemima de Freitas Machado Muniz,,2025-05-16 20:16:35,"[{'property': 'relation', 'name': 'relates', 'new_value': '208939'}]",relation,relates,,208939
208951,1863943,Gemima de Freitas Machado Muniz,,2025-05-16 20:25:06,"[{'property': 'attr', 'name': 'description', 'old_value': 'Conforme solicitação da área gestora, ticket # 208939, solicito:\r\nAlteração do Controle do ICSF (IDEN_CONTROLE_ICSF) para ""Não se Aplica"" das conta contábeis (ACWTB0032) abaixo relacionadas, exercício 2025.\r\n* 2.1.8.6.1.01.01.97\r\n* 2.1.8.6.1.01.02.97\r\n* 2.1.8.6.1.02.01.94\r\n* 2.1.8.6.1.02.02.94\r\n* 2.1.8.6.1.03.01.97\r\n* 2.1.8.6.1.03.02.97\r\n* 2.1.8.6.1.99.01.97\r\n* 2.1.8.6.1.99.02.97\r\n* 2.1.8.9.1.01.05.00\r\n* 2.1.8.9.1.02.05.00\r\n\r\nUsuário de alteração 00212076582', 'new_value': 'Conforme solicitação da área gestora, ticket # 208939, solicito:\r\nAlteração do Controle do ICSF (IDEN_CONTROLE_ICSF) para ""Não se Aplica"" das conta contábeis (ACWTB0032) abaixo relacionadas, exercício 2025.\r\n* 2.1.8.6.1.01.01.97\r\n* 2.1.8.6.1.01.02.97\r\n* 2.1.8.6.1.02.01.94\r\n* 2.1.8.6.1.02.02.94\r\n* 2.1.8.6.1.03.01.97\r\n* 2.1.8.6.1.03.02.97\r\n* 2.1.8.6.1.99.01.97\r\n* 2.1.8.6.1.99.02.97\r\n* 2.1.8.9.1.01.05.00\r\n* 2.1.8.9.1.02.05.00\r\n\r\nUsuário de alteração 00212076582\r\nTKT similar a #208948 com alteração do usuário de alteração.'}]",,,,
208948,1863883,Gemima de Freitas Machado Muniz,,2025-05-16 19:14:57,"[{'property': 'attr', 'name': 'status_id', 'old_value': '1', 'new_value': '154'}]",attr,status_id,1,154
208948,1863885,Gemima de Freitas Machado Muniz,,2025-05-16 19:15:08,"[{'property': 'relation', 'name': 'relates', 'new_value': '208939'}]",relation,relates,,208939
208948,1863887,Gemima de Freitas Machado Muniz,,2025-05-16 19:16:36,"[{'property': 'attr', 'name': 'subject', 'old_value': 'Alteração na conta contábil - Controle do ICSF', 'new_value': 'Alteração na conta contábil - Controle do ICSF (Manut 2025)'}]",attr,subject,Alteração na conta contábil - Controle do ICSF,Alteração na conta contábil - Controle do ICSF (Manut 2025)
208948,1863893,Nara Marise Campelo D'Amorim,,2025-05-16 19:23:45,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '733', 'new_value': '149'}, {'property': 'attr', 'name': 'status_id', 'old_value': '154', 'new_value': '155'}]",attr,assigned_to_id,733,149
