id,subject,custom_fields,created_on,updated_on,tracker.name,status.id,status.name,priority.name,author.name,assigned_to.name,category.name,parent.id
208495,"Relato sobre a Iniciativa - 2024-2027 - Anos 2,3 e 4 - Demanda 2 - Salvar relato","[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 33, 'name': 'Legado', 'value': '0'}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}, {'id': 396, 'name': 'Time FIPLAN', 'value': 'SEPLAN - Time 02'}]",2025-05-09T15:08:09Z,2025-05-09T15:40:01Z,FIPLAN:Erro,156,Desenvolvimento: A fazer,Padrão,Ligia Simone Vianna,Marcus Vinicius Lima Vidal,,
208494,Carga de UG inativa - Do exercício 2021 até o exercício 2025 Manutenção,"[{'id': 64, 'name': 'Ambiente', 'value': 'Manutenção'}, {'id': 296, 'name': 'Justificativa', 'value': 'Conforme solicitação do ticket Gestor #208432\r\n'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}]",2025-05-09T15:01:39Z,2025-05-09T15:02:32Z,FIPLAN:Carga de Dados,154,A fazer,Padrão,Tárcio Henrique  Gomes Barbosa,FIPLAN AD,,
208493,Conciliação Bancária Extrato - Conciliar - Confirmação da operação - ajuste na visualização das informações de usuário de cadastro/usuário de alteração,"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': ''}, {'id': 221, 'name': 'PF Estimado', 'value': '2'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 299, 'name': 'Origem Mudança', 'value': 'Requisitos'}, {'id': 271, 'name': 'Versão Caso de Uso', 'value': '6.15'}, {'id': 237, 'name': 'Data Prevista Desenvolvimento', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-09T14:59:31Z,2025-05-09T15:03:26Z,FIPLAN:Mudança,156,Desenvolvimento: A fazer,Padrão,Marcio Anton Hadad,FIPLAN_SEFAZ_TIME 04,Conciliação Bancária,
208492,Tabelas Contábeis - Fato Extra Caixa - Validação na inclusão e na alteração,"[{'id': 28, 'name': 'Origem do Defeito', 'value': 'Produção'}, {'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': ''}, {'id': 334, 'name': 'Backlog', 'value': '1'}, {'id': 221, 'name': 'PF Estimado', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-09T14:56:08Z,2025-05-09T14:57:20Z,FIPLAN:Corretiva,200,Especificação: Em andamento,Padrão,Gemima de Freitas Machado Muniz,Gemima de Freitas Machado Muniz,Tabelas | Contábil,
208490,PTA - Memória de Cálculo: Erro Null Pointer,"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '0'}, {'id': 33, 'name': 'Legado', 'value': '0'}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}, {'id': 396, 'name': 'Time FIPLAN', 'value': 'SEPLAN - Sustentação'}]",2025-05-09T14:36:40Z,2025-05-09T14:53:49Z,FIPLAN:Erro,114,Desenvolvimento: Em andamento,Padrão,Priscila Carvalho Ramos,Christiano Tavares,,
208489,Mapear Transversalidade - filtros e seleção múltipla - ACWVW1090,"[{'id': 149, 'name': 'Impacto BDCE', 'value': ''}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}]",2025-05-09T14:25:50Z,2025-05-09T14:25:50Z,FIPLAN:Modelo de Dados,114,Desenvolvimento: Em andamento,Padrão,Gabriel Mendes de Souza,Gabriel Mendes de Souza,PLAN | PPA | Programar,
208488,"Relato sobre a Iniciativa - 2024-2027 - Anos 2,3 e 4 - Demanda 2 - Imprimir ","[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 33, 'name': 'Legado', 'value': '0'}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}, {'id': 396, 'name': 'Time FIPLAN', 'value': 'SEPLAN - Time 02'}]",2025-05-09T14:24:36Z,2025-05-09T14:28:17Z,FIPLAN:Erro,200,Especificação: Em andamento,Padrão,Ligia Simone Vianna,Ligia Simone Vianna,,
208487,Migração Credor - Incluir Credor - Pessoa Física,"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': 'Média'}, {'id': 221, 'name': 'PF Estimado', 'value': '9'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': 'CREDOR'}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 299, 'name': 'Origem Mudança', 'value': 'Negócio'}, {'id': 271, 'name': 'Versão Caso de Uso', 'value': ''}, {'id': 237, 'name': 'Data Prevista Desenvolvimento', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-09T14:17:50Z,2025-05-09T14:17:50Z,FIPLAN:Mudança,200,Especificação: Em andamento,Padrão,Manuela da Silva Costa,Manuela da Silva Costa,Tabelas | Credor,
208482,FOLHA - Fase 2 - Regularização da Folha - Vinculação Credor Folha (parte 1) - Registros unicos,"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 33, 'name': 'Legado', 'value': '0'}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-09T13:42:44Z,2025-05-09T13:43:19Z,FIPLAN:Erro,156,Desenvolvimento: A fazer,Padrão,Alessandra Leal Bertani,FIPLAN_SEFAZ_TIME 07,,
208481,FOLHA - Fase 2 - Regularização da Folha - Vinculação Credor Folha (parte 1) - Registros unicos,"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 33, 'name': 'Legado', 'value': '0'}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-09T13:38:40Z,2025-05-09T13:39:46Z,FIPLAN:Erro,156,Desenvolvimento: A fazer,Padrão,Alessandra Leal Bertani,FIPLAN_SEFAZ_TIME 07,,
208478,Homologação SEPLAN - Manter Unidade Setorial de Planejamento  - Alterações na padronização visual das telas segundo o novo padrão definido para o FIPLAN 2.0,"[{'id': 371, 'name': 'Data de Entrega', 'value': ''}]",2025-05-09T13:26:03Z,2025-05-09T15:00:48Z,FIPLAN:Atividade,73,Feito,Padrão,Daniele Correa,Fiplan Requisitos Seplan,,205735.0
208477,"Relato sobre a Iniciativa - 2024-2027 - Anos 2,3 e 4 - Demanda 2 - Mensagens de Erro Inesperada","[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 33, 'name': 'Legado', 'value': '0'}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}, {'id': 396, 'name': 'Time FIPLAN', 'value': 'SEPLAN - Time 02'}]",2025-05-09T13:20:18Z,2025-05-09T14:57:54Z,FIPLAN:Erro,114,Desenvolvimento: Em andamento,Padrão,Ligia Simone Vianna,Antonio Alves da Cunha Junior,,
