id,subject,custom_fields,created_on,updated_on,tracker_name,status_id,status_name,priority_name,author_name,assigned_name,category_name,parent_id,FIPLAN_20,Complexidade_Demanda,PF_Estimado,Agrupamento_Demanda,Gestor,Origem_Mudanca,Versao_Caso_Uso,Data_Prevista_Desenvolvimento,Time_FIPLAN,Impacto_BDCE,Data_Prevista_Teste,Legado,Origem_Defeito,Backlog,Rastro_FIPLAN,Esforco,Data_Entrega_Homologacao,Data_Prevista_Implantacao,Data_Entrega,Projeto,Ambiente,Justificativa,Classificacao_Demanda,Data_Desejada,Numero_RDS
208541,"Gestão de Usuários - Alterar Perfil - Gravar o histórico dos vínculos mantidos na situação ""Em Cadastro""","[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': 'Baixa'}, {'id': 221, 'name': 'PF Estimado', 'value': '1'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': 'GESTÃO DE USUÁRIO'}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 299, 'name': 'Origem Mudança', 'value': 'Requisitos'}, {'id': 271, 'name': 'Versão Caso de Uso', 'value': '1.7'}, {'id': 237, 'name': 'Data Prevista Desenvolvimento', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': 'SEFAZ - Time 02'}]",2025-05-09 21:27:27,2025-05-09 21:31:22,FIPLAN:Mudança,156,Desenvolvimento: A fazer,Padrão,Ana Poly Ferreira da Silva,FIPLAN_SEFAZ_TIME 02,Gestão | Segurança,0,1,Baixa,1,GESTÃO DE USUÁRIO,SEFAZ,Requisitos,1.7,,SEFAZ - Time 02,,,,,,,,,,,,,,,,
208539,Tabelas / Classificação Institucional / Unidade Orçamentária / Excluir: Adequação CNPJ alfanumérico (Pessoa Jurídica),"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 149, 'name': 'Impacto BDCE', 'value': ''}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': 'Média'}, {'id': 221, 'name': 'PF Estimado', 'value': '3'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}, {'id': 271, 'name': 'Versão Caso de Uso', 'value': '4.0'}, {'id': 237, 'name': 'Data Prevista Desenvolvimento', 'value': ''}, {'id': 238, 'name': 'Data Prevista Teste', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-09 21:10:17,2025-05-09 21:10:17,FIPLAN:Adaptativa,200,Especificação: Em andamento,Padrão,Cristina de Souza Azevedo,Cristina de Souza Azevedo,Tabelas | Institucional,0,1,Média,3,,SEPLAN,,4.0,,,,,,,,,,,,,,,,,,
208538,Tabelas / Classificação Institucional / Unidade Orçamentária / Alterar: Adequação CNPJ alfanumérico (Pessoa Jurídica),"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 149, 'name': 'Impacto BDCE', 'value': ''}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': ''}, {'id': 221, 'name': 'PF Estimado', 'value': '3'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}, {'id': 271, 'name': 'Versão Caso de Uso', 'value': '4.0'}, {'id': 237, 'name': 'Data Prevista Desenvolvimento', 'value': ''}, {'id': 238, 'name': 'Data Prevista Teste', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-09 21:09:43,2025-05-09 21:09:43,FIPLAN:Adaptativa,200,Especificação: Em andamento,Padrão,Cristina de Souza Azevedo,Cristina de Souza Azevedo,Tabelas | Institucional,0,1,,3,,SEPLAN,,4.0,,,,,,,,,,,,,,,,,,
208537,Gestão de Usuários - Alterar Perfil - Qualquer alteração realizada está excluindo todos os vínculos do Perfil com o Usuário,"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 33, 'name': 'Legado', 'value': '0'}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 396, 'name': 'Time FIPLAN', 'value': 'SEFAZ - Time 02'}]",2025-05-09 20:56:26,2025-05-09 21:31:59,FIPLAN:Erro,156,Desenvolvimento: A fazer,Padrão,Ana Poly Ferreira da Silva,FIPLAN_SEFAZ_TIME 02,,0,1,,,,SEFAZ,,,,SEFAZ - Time 02,,,0,,,,,,,,,,,,,
208536,TABELAS FINANCEIRAS - VINCULAÇÃO DA RECEITA - ALTERAR MSG ERRO NULL,"[{'id': 28, 'name': 'Origem do Defeito', 'value': 'Teste Integrado - Equipe Requisitos'}, {'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': ''}, {'id': 334, 'name': 'Backlog', 'value': ''}, {'id': 221, 'name': 'PF Estimado', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-09 20:50:11,2025-05-09 20:58:00,FIPLAN:Corretiva,156,Desenvolvimento: A fazer,Padrão,Gemima de Freitas Machado Muniz,FIPLAN DEV,Tabelas | Financeira,0,1,,,,SEFAZ,,,,,,,,Teste Integrado - Equipe Requisitos,,,,,,,,,,,,
208535,FIPLAN 2.0 - Tabelas SICONFI - Natureza da Despesa - Alterar nome de campo,"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': ''}, {'id': 221, 'name': 'PF Estimado', 'value': '3'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEFAZ'}, {'id': 299, 'name': 'Origem Mudança', 'value': 'Negócio'}, {'id': 271, 'name': 'Versão Caso de Uso', 'value': ''}, {'id': 237, 'name': 'Data Prevista Desenvolvimento', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-09 20:47:59,2025-05-09 20:47:59,FIPLAN:Mudança,200,Especificação: Em andamento,Padrão,Monica  Alves Gomes da Costa,Monica  Alves Gomes da Costa,Tabelas | Parâmetros,0,1,,3,,SEFAZ,Negócio,,,,,,,,,,,,,,,,,,,
208533,Monitoramento 2024-2027: Apuração do Indicador de Programa - Avaliação  de Demanda,"[{'id': 368, 'name': 'Rastro FIPLAN', 'value': ''}, {'id': 340, 'name': 'FIPLAN 2.0', 'value': ''}, {'id': 149, 'name': 'Impacto BDCE', 'value': ''}, {'id': 334, 'name': 'Backlog', 'value': ''}, {'id': 221, 'name': 'PF Estimado', 'value': ''}, {'id': 333, 'name': 'Esforço', 'value': ''}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}, {'id': 342, 'name': 'Data Entrega Homologação', 'value': ''}, {'id': 235, 'name': 'Data Prevista Implantação', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-09 20:26:44,2025-05-09 20:27:00,FIPLAN:Demanda,193,Demanda: Solicitação,Padrão,Marilia Pedreira,Fiplan Requisitos Seplan,,0,,,,,SEPLAN,,,,,,,,,,,,,,,,,,,,
208532,Tabelas / Classificação Institucional / Unidade Orçamentária / Consultar: Adequação CNPJ alfanumérico (Pessoa Jurídica),"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 149, 'name': 'Impacto BDCE', 'value': ''}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': 'Média'}, {'id': 221, 'name': 'PF Estimado', 'value': '3'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}, {'id': 271, 'name': 'Versão Caso de Uso', 'value': '4.0'}, {'id': 237, 'name': 'Data Prevista Desenvolvimento', 'value': ''}, {'id': 238, 'name': 'Data Prevista Teste', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-09 20:12:09,2025-05-09 20:12:09,FIPLAN:Adaptativa,200,Especificação: Em andamento,Padrão,Cristina de Souza Azevedo,Cristina de Souza Azevedo,Tabelas | Institucional,0,1,Média,3,,SEPLAN,,4.0,,,,,,,,,,,,,,,,,,
208531,Tabelas / Classificação Institucional / Unidade Orçamentária / Incluir: Adequação CNPJ alfanumérico (Pessoa Jurídica),"[{'id': 340, 'name': 'FIPLAN 2.0', 'value': '1'}, {'id': 149, 'name': 'Impacto BDCE', 'value': ''}, {'id': 174, 'name': 'Complexidade da Demanda', 'value': 'Média'}, {'id': 221, 'name': 'PF Estimado', 'value': '3'}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}, {'id': 271, 'name': 'Versão Caso de Uso', 'value': '4.0'}, {'id': 237, 'name': 'Data Prevista Desenvolvimento', 'value': ''}, {'id': 238, 'name': 'Data Prevista Teste', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': ''}]",2025-05-09 20:07:48,2025-05-09 20:07:48,FIPLAN:Adaptativa,200,Especificação: Em andamento,Padrão,Cristina de Souza Azevedo,Cristina de Souza Azevedo,Tabelas | Institucional,0,1,Média,3,,SEPLAN,,4.0,,,,,,,,,,,,,,,,,,
208529,Monitoramento 2024-2027: Customização do M&A 102  - Relatório de Execução do PPA - Mudança do quadro de “Evolução dos Indicadores de Programa”,"[{'id': 368, 'name': 'Rastro FIPLAN', 'value': ''}, {'id': 340, 'name': 'FIPLAN 2.0', 'value': '0'}, {'id': 149, 'name': 'Impacto BDCE', 'value': ''}, {'id': 334, 'name': 'Backlog', 'value': ''}, {'id': 221, 'name': 'PF Estimado', 'value': ''}, {'id': 333, 'name': 'Esforço', 'value': ''}, {'id': 345, 'name': 'Agrupamento da Demanda', 'value': ''}, {'id': 252, 'name': 'Gestor', 'value': 'SEPLAN'}, {'id': 342, 'name': 'Data Entrega Homologação', 'value': ''}, {'id': 235, 'name': 'Data Prevista Implantação', 'value': ''}, {'id': 396, 'name': 'Time FIPLAN', 'value': 'SEPLAN - Sustentação'}]",2025-05-09 20:02:09,2025-05-09 20:02:36,FIPLAN:Demanda,193,Demanda: Solicitação,Alto,Marilia Pedreira,Fiplan Requisitos Seplan,PLAN | M&A | Monitoramento,0,0,,,,SEPLAN,,,,SEPLAN - Sustentação,,,,,,,,,,,,,,,,
